,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
5275,WRSX        ,42.97863888888890,-82.42905555555560,91.3,0.01,13.0,MI ,ST. CLAIR COUNTY REGIONAL EDUCATIONAL SERVICE AGENCY                        
5276,KNCM        ,45.1675,-96.0008611111111,91.3,0.01,345.2,MN ,MINNESOTA PUBLIC RADIO                                                      
5277,KMSK        ,43.67744444444440,-93.00127777777780,91.3,0.01,59.0,MN ,"MINNESOTA STATE UNIVERSITY, MANKATO                                         "
5278,KNBJ        ,47.70577777777780,-94.48608333333330,91.3,0.01,301.0,MN ,MINNESOTA PUBLIC RADIO                                                      
5279,KNBJ        ,47.70577777777780,-94.48608333333330,91.3,0.01,230.0,MN ,MINNESOTA PUBLIC RADIO                                                      
5280,K217GP,43.62916666666670,-94.48361111111110,91.3,0.01,39.3,MN ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
5281,KCVA        ,40.55333333333330,-95.12194444444440,91.3,0.01,73.0,MO ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
5282,KBIA        ,38.88916666666670,-92.262,91.3,0.01,222.0,MO ,THE CURATORS OF THE UNIVERSITY OF MISSOURI                                  
5283,K217GC,37.85669444444440,-94.37994444444440,91.3,0.01,0.0,MO ,CSN INTERNATIONAL                                                           
5284,WCQC        ,34.09594444444450,-90.70816666666670,91.3,0.01,0.0,MS ,QUITMAN COUNTY DEVELOPMENT ORG DBA DEEP SOUTH DELTA FOUNDATI                
5285,WMPN-FM     ,32.19152777777780,-90.40619444444450,91.3,0.01,423.0,MS ,MISSISSIPPI AUTHORITY FOR EDUCATIONAL TV                                    
5286,WMPN-FM     ,32.33819444444450,-90.1456388888889,91.3,0.01,92.0,MS ,MISSISSIPPI AUTHORITY FOR EDUCATIONAL TV                                    
5287,W217AQ,32.32930555555560,-88.69061111111110,91.3,0.01,0.0,MS ,"RADIO BY GRACE, INC.                                                        "
